id,title,description,domain
T-0001,the API is broken on /users – getting 500 every time,notification-service keeps throwing 504 when you hit /login since last release. Nothing in the logs explains why. Started after the last hotfix was pushed.,api
T-0002,order-service times out calling /sessions under load,Under load testing reporting-service cannot finish POST /reports within the 5-second SLA. Connection pool exhaustion is suspected on every request. The issue is not reproduced locally.,api
T-0003,POST /users returns 504 after the migration,The reporting-service endpoint DELETE /orders started returning HTTP 422 after the migration. Logs show an unhandled exception in the request handler. Rolling back the last deployment temporarily fixes it.,api
T-0004,reporting-service times out calling /products under load,Under load testing auth-service cannot finish PATCH /reports within the 5-second SLA. Connection pool exhaustion is suspected intermittently. The issue is not reproduced locally.,api
T-0005,GET /webhooks returns 403 under high load,The notification-service endpoint GET /login started returning HTTP 401 after a config change. Logs show an unhandled exception in the request handler. Rolling back the last deployment temporarily fixes it.,api
T-0006,search-service API throws 401 on POST /refresh,Calling PUT /profile on gateway consistently results in a 500 error. The request payload is valid according to the schema. The issue appeared only in production.,api
T-0007,order-service endpoint /products leaks stack trace in 502 response,PUT /search on reporting-service returns a 429 with a full stack trace in the body. This exposes internal paths and library versions. Error handling middleware is not sanitising the output.,api
T-0008,/login returns 404 after route refactor in gateway,After a route rename in order-service the path /orders returns 504. Existing API clients are broken. No redirect is configured for the old path.,api
T-0009,order-service response times spike to 30 s on GET /search,PATCH /logout in order-service takes over 30 seconds to respond only in production. Tracing shows the bottleneck is inside the request serialisation layer. Other routes are unaffected.,api
T-0010,the API is broken on /search – getting 401 every time,payment-service keeps throwing 401 when you hit /refresh after the migration. Nothing in the logs explains why. Started after the last hotfix was pushed.,api
T-0011,the API is broken on /logout – getting 502 every time,gateway keeps throwing 503 when you hit /sessions after the migration. Nothing in the logs explains why. Started after the last hotfix was pushed.,api
T-0012,PATCH /products returns empty response body,The notification-service handler for DELETE /login returns a 401 status with an empty body. This breaks downstream consumers that expect a JSON object. Reproduces reliably in staging.,api
T-0013,API rate limit not enforced on /search,The user-service route /profile does not respect the 429 throttle limit. Clients can flood it without being blocked under high load. The rate-limit middleware appears to be bypassed.,api
T-0014,notification-service returns wrong Content-Type on POST /login,DELETE /webhooks sends back text/html instead of application/json under high load. This causes JSON parse failures in the frontend. The accept header is being ignored.,api
T-0015,API rate limit not enforced on /sessions,The billing-service route /products does not respect the 429 throttle limit. Clients can flood it without being blocked only in production. The rate-limit middleware appears to be bypassed.,api
T-0016,PUT /payments returns empty response body,The auth-service handler for DELETE /invoices returns a 400 status with an empty body. This breaks downstream consumers that expect a JSON object. Reproduces reliably in QA.,api
T-0017,CORS headers missing on search-service PUT /login,Cross-origin requests to DELETE /checkout on payment-service fail with a CORS error after a config change. The Access-Control-Allow-Origin header is absent. Reverting last nginx config change resolves it.,api
T-0018,POST /payments returns 503 on every request,The gateway endpoint POST /products started returning HTTP 403 only in production. Logs show an unhandled exception in the request handler. Rolling back the last deployment temporarily fixes it.,api
T-0019,notification-service endpoint /invoices leaks stack trace in 500 response,DELETE /profile on order-service returns a 400 with a full stack trace in the body. This exposes internal paths and library versions. Error handling middleware is not sanitising the output.,api
T-0020,the API is broken on /refresh – getting 502 every time,notification-service keeps throwing 503 when you hit /products only in production. Nothing in the logs explains why. Started after the last hotfix was pushed.,api
T-0021,PUT /invoices returns 503 after a config change,The notification-service endpoint DELETE /reports started returning HTTP 504 since last release. Logs show an unhandled exception in the request handler. Rolling back the last deployment temporarily fixes it.,api
T-0022,/invoices returns 404 after route refactor in payment-service,After a route rename in reporting-service the path /orders returns 429. Existing API clients are broken. No redirect is configured for the old path.,api
T-0023,/orders returns 404 after route refactor in billing-service,After a route rename in order-service the path /refresh returns 400. Existing API clients are broken. No redirect is configured for the old path.,api
T-0024,API rate limit not enforced on /orders,The auth-service route /reports does not respect the 429 throttle limit. Clients can flood it without being blocked after a config change. The rate-limit middleware appears to be bypassed.,api
T-0025,billing-service API throws 422 on POST /profile,Calling GET /sessions on payment-service consistently results in a 404 error. The request payload is valid according to the schema. The issue appeared since last release.,api
T-0026,reporting-service response times spike to 30 s on DELETE /products,DELETE /profile in auth-service takes over 30 seconds to respond after the migration. Tracing shows the bottleneck is inside the request serialisation layer. Other routes are unaffected.,api
T-0027,notification-service times out calling /products under load,Under load testing inventory-service cannot finish PATCH /invoices within the 5-second SLA. Connection pool exhaustion is suspected only in production. The issue is not reproduced locally.,api
T-0028,auth-service API throws 401 on GET /users,Calling DELETE /invoices on user-service consistently results in a 504 error. The request payload is valid according to the schema. The issue appeared after the migration.,api
T-0029,POST /webhooks returns 500 after the migration,The order-service endpoint POST /search started returning HTTP 401 after a config change. Logs show an unhandled exception in the request handler. Rolling back the last deployment temporarily fixes it.,api
T-0030,auth-service endpoint /logout leaks stack trace in 404 response,DELETE /payments on auth-service returns a 429 with a full stack trace in the body. This exposes internal paths and library versions. Error handling middleware is not sanitising the output.,api
T-0031,CORS headers missing on billing-service GET /profile,Cross-origin requests to PATCH /login on billing-service fail with a CORS error after a config change. The Access-Control-Allow-Origin header is absent. Reverting last nginx config change resolves it.,api
T-0032,search-service API throws 403 on PUT /products,Calling POST /sessions on billing-service consistently results in a 502 error. The request payload is valid according to the schema. The issue appeared after deploy.,api
T-0033,inventory-service returns wrong Content-Type on POST /login,GET /login sends back text/html instead of application/json only in production. This causes JSON parse failures in the frontend. The accept header is being ignored.,api
T-0034,PATCH /payments returns empty response body,The notification-service handler for PATCH /login returns a 502 status with an empty body. This breaks downstream consumers that expect a JSON object. Reproduces reliably in QA.,api
T-0035,order-service endpoint /orders leaks stack trace in 422 response,POST /profile on user-service returns a 504 with a full stack trace in the body. This exposes internal paths and library versions. Error handling middleware is not sanitising the output.,api
T-0036,PATCH /checkout returns empty response body,The billing-service handler for GET /search returns a 403 status with an empty body. This breaks downstream consumers that expect a JSON object. Reproduces reliably in staging.,api
T-0037,PATCH /orders returns empty response body,The search-service handler for PUT /profile returns a 404 status with an empty body. This breaks downstream consumers that expect a JSON object. Reproduces reliably in dev.,api
T-0038,reporting-service returns wrong Content-Type on PATCH /payments,GET /logout sends back text/html instead of application/json after the migration. This causes JSON parse failures in the frontend. The accept header is being ignored.,api
T-0039,DELETE /webhooks returns 422 after deploy,The inventory-service endpoint POST /orders started returning HTTP 429 only in production. Logs show an unhandled exception in the request handler. Rolling back the last deployment temporarily fixes it.,api
