id,files_changed,risk_level,impact,tests_after,verdict
T-0001,app/payments.py,high,Stale API responses served to 405 active sessions.,all passed,fix_verified
T-0002,app/routes.py,low,API errors caused 4166 downstream requests to fail per hour.,all passed,fix_verified
T-0003,app/webhooks.py,low,Stale API responses served to 582 active sessions.,all passed,fix_verified
T-0004,"app/webhooks.py, app/orders.py",low,API errors caused 1838 downstream requests to fail per hour.,all passed,fix_verified
T-0005,"app/routes.py, app/webhooks.py",low,API errors caused 1821 downstream requests to fail per hour.,all passed,fix_verified
T-0006,app/webhooks.py,low,4439 customers received empty responses from the order-service endpoint.,all passed,fix_verified
T-0007,"app/checkout.py, app/payments.py",high,API errors caused 4774 downstream requests to fail per hour.,all passed,fix_verified
T-0008,app/orders.py,low,API errors caused 4633 downstream requests to fail per hour.,all passed,fix_verified
T-0009,app/checkout.py,high,Stale API responses served to 2583 active sessions.,all passed,fix_verified
T-0010,app/invoices.py,low,1482 customers received empty responses from the auth-service endpoint.,all passed,fix_verified
T-0011,"app/invoices.py, app/routes.py",low,Stale API responses served to 2823 active sessions.,all passed,fix_verified
T-0012,"app/orders.py, app/checkout.py",high,Stale API responses served to 1361 active sessions.,all passed,fix_verified
T-0013,app/webhooks.py,low,API errors caused 645 downstream requests to fail per hour.,all passed,fix_verified
T-0014,app/checkout.py,high,Rate-limit bypass allowed 4879 uncapped requests per minute.,all passed,fix_verified
T-0015,app/orders.py,low,Rate-limit bypass allowed 3893 uncapped requests per minute.,all passed,fix_verified
T-0016,"app/checkout.py, app/invoices.py",high,Stale API responses served to 2341 active sessions.,all passed,fix_verified
T-0017,app/webhooks.py,low,Rate-limit bypass allowed 1386 uncapped requests per minute.,all passed,fix_verified
T-0018,app/orders.py,low,2364 customers received empty responses from the payment-service endpoint.,all passed,fix_verified
T-0019,app/webhooks.py,low,Stale API responses served to 670 active sessions.,all passed,fix_verified
T-0020,app/routes.py,low,Rate-limit bypass allowed 1131 uncapped requests per minute.,all passed,fix_verified
T-0021,"app/webhooks.py, app/invoices.py",low,Stale API responses served to 1900 active sessions.,all passed,fix_verified
T-0022,app/payments.py,high,1921 customers received empty responses from the user-service endpoint.,all passed,fix_verified
T-0023,"app/payments.py, app/invoices.py",high,Rate-limit bypass allowed 43 uncapped requests per minute.,all passed,fix_verified
T-0024,"app/invoices.py, app/routes.py",low,Rate-limit bypass allowed 1038 uncapped requests per minute.,all passed,fix_verified
T-0025,app/checkout.py,high,Stale API responses served to 3270 active sessions.,all passed,fix_verified
T-0026,app/webhooks.py,low,Stale API responses served to 519 active sessions.,all passed,fix_verified
T-0027,app/webhooks.py,low,910 customers received empty responses from the inventory-service endpoint.,all passed,fix_verified
T-0028,app/orders.py,low,4405 customers received empty responses from the order-service endpoint.,all passed,fix_verified
T-0029,"app/orders.py, app/checkout.py",high,3092 customers received empty responses from the payment-service endpoint.,all passed,fix_verified
T-0030,app/routes.py,low,Rate-limit bypass allowed 3894 uncapped requests per minute.,all passed,fix_verified
T-0031,app/webhooks.py,low,Stale API responses served to 3973 active sessions.,all passed,fix_verified
T-0032,app/orders.py,low,Rate-limit bypass allowed 2178 uncapped requests per minute.,all passed,fix_verified
T-0033,"app/orders.py, app/payments.py",high,Rate-limit bypass allowed 1210 uncapped requests per minute.,all passed,fix_verified
T-0034,"app/invoices.py, app/orders.py",low,Rate-limit bypass allowed 4256 uncapped requests per minute.,all passed,fix_verified
T-0035,app/payments.py,high,Rate-limit bypass allowed 1837 uncapped requests per minute.,all passed,fix_verified
T-0036,app/webhooks.py,low,1647 customers received empty responses from the reporting-service endpoint.,all passed,fix_verified
T-0037,app/checkout.py,high,API errors caused 238 downstream requests to fail per hour.,all passed,fix_verified
T-0038,app/payments.py,high,Rate-limit bypass allowed 3673 uncapped requests per minute.,all passed,fix_verified
T-0039,app/payments.py,high,API errors caused 1868 downstream requests to fail per hour.,all passed,fix_verified
T-0040,app/payments.py,high,Stale API responses served to 25 active sessions.,all passed,fix_verified
T-0041,"app/db.py, app/queries.py",low,Missing index caused 1642 sequential scans per hour in production.,all passed,fix_verified
T-0042,app/migrations.py,low,Duplicate charges recorded for 3252 customers due to missing constraint.,all passed,fix_verified
T-0043,"app/db.py, app/models.py",low,Query timeouts blocked 1050 database write operations per minute.,all passed,fix_verified
T-0044,"app/billing.py, app/models.py",high,Missing index caused 2880 sequential scans per hour in production.,all passed,fix_verified
T-0045,app/db.py,low,Duplicate charges recorded for 4323 customers due to missing constraint.,all passed,fix_verified
T-0046,app/models.py,low,Duplicate charges recorded for 2073 customers due to missing constraint.,all passed,fix_verified
T-0047,"app/models.py, app/migrations.py",low,Replication lag caused stale reads affecting 4469 concurrent users.,all passed,fix_verified
T-0048,app/migrations.py,low,Missing index caused 4788 sequential scans per hour in production.,all passed,fix_verified
T-0049,"app/models.py, app/queries.py",low,Duplicate charges recorded for 3615 customers due to missing constraint.,all passed,fix_verified
T-0050,app/models.py,low,Query timeouts blocked 3888 database write operations per minute.,all passed,fix_verified
T-0051,"app/db.py, app/migrations.py",low,Missing index caused 879 sequential scans per hour in production.,all passed,fix_verified
T-0052,app/models.py,low,Replication lag caused stale reads affecting 355 concurrent users.,all passed,fix_verified
T-0053,"app/db.py, app/queries.py",low,Missing index caused 2677 sequential scans per hour in production.,all passed,fix_verified
T-0054,"app/migrations.py, app/billing.py",high,Missing index caused 4169 sequential scans per hour in production.,all passed,fix_verified
T-0055,"app/models.py, app/billing.py",high,Query timeouts blocked 3423 database write operations per minute.,all passed,fix_verified
T-0056,app/migrations.py,low,Duplicate charges recorded for 1981 customers due to missing constraint.,all passed,fix_verified
T-0057,app/migrations.py,low,Duplicate charges recorded for 1275 customers due to missing constraint.,all passed,fix_verified
T-0058,app/models.py,low,Missing index caused 1808 sequential scans per hour in production.,all passed,fix_verified
